Model settings:
Alpha = 1, Features encoder depth = 34, Cognition encoder depth = 6, Latent space dimension = 6, Data normalized = True
Features encoder dimensions = [14753, 13006, 12264, 11775, 10875, 9729, 9303, 8852, 8000, 8000, 7642, 7175, 6949, 6810, 6311, 6000, 5823, 5583, 5245, 4990, 3629, 3000, 2732, 1200, 1950, 1655, 1500, 1414, 1032, 827, 665, 301, 135, 50]
Cognition encoder dimensions = [12, 11, 10, 9, 8, 7]
Learning curve mode = False
********************
  epoch    l2_norm    reconst_loss    score    train_loss     dur
    263     0.6484          1.3017  23.6019        1.9501  0.5653
    264     0.6667          1.2741  24.6863        1.9408  0.5733
    265     0.6732          1.2889  18.5896        1.9621  0.5648
    266     0.6998          1.2980  15.3943        1.9978  0.5641
    267     0.6498          1.2942  13.6465        1.9440  0.5631
    268     0.6774          1.2977  21.1306        1.9751  0.5652
    269     0.6670          1.3114  17.6576        1.9784  0.5654
    270     0.6252          1.3080  20.6255        1.9332  0.5648
    271     0.6672          1.2855  18.6417        1.9526  0.5639
    272     0.6326          1.2545  16.2220        [31m1.8871[0m  0.5648
    273     0.6788          1.2899  17.6317        1.9687  0.6281
    274     0.6436          1.2889  18.9086        1.9325  0.5641
    275     0.6268          1.3149  16.2489        1.9417  0.5644
    276     0.6714          1.2749  14.1507        1.9463  0.5635
    277     0.6504          1.2690  16.3628        1.9194  0.5635
    278     0.6393          1.2809  18.4732        1.9202  0.5646
    279     0.6540          1.2984  18.7719        1.9524  0.5643
    280     0.6372          1.2559  [35m11.2330[0m        1.8932  0.5639
    281     0.6571          1.2841  20.8228        1.9413  0.5647
    282     0.6607          1.2868  18.1801        1.9475  0.5640
    283     0.6340          1.2953  17.0206        1.9293  0.5633
    284     0.6342          1.2744  14.1019        1.9086  0.5642
    285     0.6489          1.2664  15.9603        1.9153  0.5650
    286     0.6224          1.2793  17.7067        1.9017  0.5646
    287     0.6698          1.2795  15.6308        1.9493  0.5636
    288     0.6781          1.2727  17.0646        1.9508  0.5645
    289     0.6736          1.2936  16.9030        1.9672  0.5641
    290     0.6333          1.2903  19.1578        1.9236  0.5636
    291     0.6160          1.2887  14.6208        1.9047  0.5646
    292     0.6521          1.3052  13.5341        1.9573  0.5648
    293     0.6724          1.2814  18.0650        1.9538  0.5643
    294     0.6467          1.3347  16.7650        1.9813  0.5644
    295     0.6174          1.2899  15.0181        1.9072  0.5647
    296     0.6608          1.2738  20.3023        1.9346  0.5660
    297     0.6550          1.2785  18.5875        1.9335  0.5647
    298     0.6180          1.2763  17.1678        1.8943  0.5649
    299     0.5832          1.2795  11.9426        [31m1.8626[0m  0.5716
    300     0.6413          1.2914  20.5180        1.9327  0.5659
    301     0.6199          1.2752  14.3332        1.8951  0.5656
    302     0.6761          1.2555  12.7897        1.9316  0.5698
    303     0.6158          1.2865  18.4444        1.9023  0.5642
    304     0.6328          1.2656  18.1021        1.8984  0.5651
    305     0.6135          1.2498  16.3456        1.8633  0.5647
    306     0.5871          1.2735  15.9873        [31m1.8606[0m  0.5647
    307     0.5972          1.2879  16.7754        1.8851  0.5647
    308     0.5835          1.2391  18.4780        [31m1.8226[0m  0.5650
    309     0.6330          1.2722  21.0720        1.9051  0.5648
    310     0.6223          1.2744  16.8588        1.8967  0.5649
    311     0.6289          1.2715  19.2287        1.9003  0.5645
    312     0.6349          1.2799  15.8321        1.9148  0.5641
    313     0.6109          1.2869  19.8742        1.8979  0.5641
    314     0.6288          1.2703  17.8327        1.8991  0.5643
    315     0.6010          1.2457  14.6447        1.8467  0.5649
    316     0.6268          1.2605  18.0276        1.8873  0.5643
    317     0.5786          1.2720  14.0121        1.8506  0.5652
    318     0.6326          1.2576  18.0474        1.8902  0.5635
    319     0.5799          1.2845  18.3102        1.8644  0.5641
    320     0.6210          1.2847  16.6471        1.9057  0.5720
    321     0.6205          1.2922  16.9792        1.9127  0.5643
    322     0.6680          1.2706  13.6062        1.9385  0.5639
    323     0.5854          1.2874  13.2586        1.8728  0.5641
    324     0.6095          1.2760  17.6552        1.8854  0.5646
    325     0.5870          1.2912  16.5555        1.8782  0.5640
    326     0.6135          1.2793  18.6614        1.8928  0.5642
    327     0.5750          1.2722  17.2856        1.8472  0.5660
    328     0.5902          1.2303  14.1425        [31m1.8206[0m  0.5709
    329     0.6049          1.2759  14.4863        1.8808  0.5646
    330     0.5961          1.2612  17.1524        1.8573  0.5655
    331     0.6095          1.2790  17.8235        1.8885  0.5646
    332     0.6077          1.2619  13.7233        1.8695  0.5635
    333     0.6195          1.2516  14.9081        1.8710  0.5650
    334     0.5881          1.2586  14.0629        1.8467  0.5653
    335     0.6160          1.2935  16.5139        1.9095  0.5656
    336     0.6131          1.2480  18.8409        1.8611  0.5651
    337     0.6100          1.2713  23.7117        1.8813  0.5654
    338     0.5939          1.2862  15.7263        1.8801  0.5656
    339     0.6288          1.2568  17.5412        1.8856  0.5647
    340     0.5645          1.2644  24.1496        1.8289  0.5646
    341     0.6081          1.2722  17.7082        1.8803  0.5650
    342     0.6069          1.2963  22.9403        1.9032  0.5662
    343     0.6183          1.2805  14.5578        1.8987  0.5651
    344     0.6150          1.2744  15.6804        1.8894  0.6635
    345     0.5968          1.2574  [35m10.8090[0m        1.8542  0.5653
    346     0.5990          1.2691  18.8085        1.8681  0.5648
    347     0.6127          1.2582  14.1547        1.8709  0.5639
    348     0.5795          1.2390  18.3269        [31m1.8185[0m  0.5651
    349     0.6296          1.2734  18.4411        1.9030  0.5648
    350     0.5676          1.2595  17.5499        1.8271  0.5650
    351     0.6166          1.2414  14.3443        1.8579  0.5651
    352     0.6161          1.2689  23.1570        1.8850  0.5647
    353     0.5377          1.2833  15.2336        1.8209  0.5653
    354     0.5821          1.2556  20.8045        1.8376  0.5654
    355     0.5584          1.2712  14.2245        1.8296  0.5644
    356     0.6024          1.2744  12.1135        1.8768  0.5644
    357     0.5954          1.2535  16.7338        1.8488  0.5635
    358     0.6102          1.2616  15.5728        1.8718  0.5645
    359     0.5921          1.2493  19.7163        1.8414  0.5651
    360     0.5848          1.2563  16.6087        1.8412  0.5649
    361     0.6037          1.2526  18.0687        1.8563  0.5657
    362     0.6056          1.2877  14.0090        1.8933  0.5646
    363     0.5328          1.2584  16.2558        [31m1.7911[0m  0.5655
    364     0.5967          1.2745  18.4854        1.8712  0.5648
    365     0.5424          1.2713  14.0103        1.8137  0.5637
    366     0.5548          1.2611  15.0962        1.8159  0.5654
    367     0.5494          1.2791  19.8362        1.8284  0.5652
    368     0.5900          1.2346  17.5570        1.8246  0.5650
    369     0.5469          1.2342  20.2701        [31m1.7811[0m  0.5657
    370     0.5287          1.2481  16.9441        [31m1.7768[0m  0.5644
    371     0.5538          1.2748  16.8454        1.8287  0.5643
    372     0.5679          1.2623  20.7295        1.8302  0.5656
    373     0.6036          1.2653  15.7444        1.8688  0.5655
    374     0.5998          1.2446  14.7432        1.8444  0.5649
    375     0.5678          1.2301  15.4924        1.7978  0.5656
    376     0.5574          1.2654  17.0062        1.8229  0.5643
    377     0.5774          1.2630  12.9299        1.8403  0.5652
    378     0.5814          1.2566  17.9312        1.8380  0.5637
    379     0.5365          1.2554  19.0161        1.7919  0.5653
    380     0.5739          1.2567  17.8060        1.8305  0.5723
    381     0.5473          1.2750  16.9460        1.8222  0.5637
    382     0.6022          1.2685  16.8324        1.8707  0.5644
    383     0.5509          1.2694  15.9640        1.8203  0.5658
    384     0.5658          1.2410  21.9122        1.8069  0.5653
    385     0.5557          1.2324  17.0566        1.7880  0.5668
    386     0.5554          1.2645  15.3825        1.8199  0.5654
    387     0.5809          1.2623  20.5593        1.8432  0.5658
    388     0.5743          1.2615  21.9631        1.8358  0.5655
    389     0.5217          1.2839  21.3490        1.8057  0.5644
    390     0.5393          1.2666  23.1311        1.8058  0.7901
    391     0.5525          1.2443  16.8577        1.7969  0.5651
    392     0.5269          1.2531  15.6885        1.7800  0.5652
    393     0.5355          1.2391  17.1937        [31m1.7746[0m  0.5652
    394     0.5873          1.2684  17.9833        1.8557  0.5671
    395     0.5656          1.2723  16.3064        1.8378  0.5656
    396     0.5420          1.2526  15.4783        1.7945  0.5641
    397     0.5520          1.2635  13.3907        1.8156  0.5640
    398     0.5510          1.2664  14.5944        1.8174  0.5651
    399     0.5814          1.2636  19.1038        1.8450  0.5660
    400     0.5587          1.2940  14.1367        1.8527  0.5649
    401     0.5574          1.2843  17.6562        1.8417  0.5652
    402     0.5651          1.2117  20.9453        1.7768  0.5640
    403     0.5412          1.2547  15.6894        1.7958  0.5656
    404     0.5440          1.2708  15.7694        1.8148  0.5650
    405     0.5296          1.2781  18.9943        1.8076  0.5636
    406     0.5405          1.2211  14.3738        [31m1.7616[0m  0.5653
    407     0.5440          1.2547  20.2068        1.7987  0.5654
    408     0.5387          1.2641  13.7923        1.8029  0.5655
    409     0.5265          1.2687  18.6967        1.7952  0.5647
    410     0.5513          1.2527  14.5375        1.8039  0.5654
    411     0.5646          1.2442  17.2112        1.8087  0.5646
    412     0.5485          1.2102  17.6949        [31m1.7587[0m  0.5647
    413     0.5129          1.2624  16.8671        1.7753  0.5661
    414     0.5488          1.2629  14.5029        1.8117  0.5651
    415     0.5505          1.2636  15.4437        1.8141  0.5647
    416     0.5420          1.2571  13.8615        1.7991  0.5652
    417     0.5273          1.2808  12.3150        1.8081  0.5657
